INDEX,DATE,YEAR,MONTH,ACP1,ACP2,ACP3,ACP4,ACP5,ACP6,ACP7,ACP8,ACP9,ACP10,ACP11,ACP12,ACP13,ACP14,ACP15,ACP16,ACP17,ACP18,ACP19,ACP20,ACP21,ACP22,ACP23,ACP24,ACP25
45,199509,1995,09,22458.34167,1427.083333,7197.916667,4942.708333,1833.333333,2640.625,4171.875,1088.541667,8062.498333,4859.375,6354.163333,2953.125,13781.25167,4515.626667,5281.251667,2015.625,3135.416667,6718.746667,1520.833333,1729.166667,5203.125,10260.41833,2437.498333,1390.625,1385.416667
46,199510,1995,10,21335.68387,2323.58871,19954.63548,12333.66452,1431.451613,5020.162903,4753.024194,1748.990323,11436.48387,4889.112903,8371.972581,6789.316129,15362.90484,4611.893548,8382.056452,5635.080645,1950.606452,2706.653226,1144.153226,1859.879032,8175.4,14138.10484,2691.532258,1799.395161,4430.443548
47,199511,1995,11,18378.23793,5953.658621,14267.24138,5517.241379,4218.75,4768.324138,4024.777586,2101.293103,15969.82241,1163.793103,2925.646552,6390.077586,26007.53793,851.2931034,4698.275862,6029.089655,3782.32931,10932.11724,4601.293103,5581.896552,12268.31379,23114.21379,10883.62069,8836.201724,3857.756897
48,199512,1995,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,199601,1996,01,0,26.93965517,0,32.32758621,0,0,0,210.1293103,26.93965517,0,0,0,0,0,10.77586207,425.6465517,1562.5,7753.22931,5.387931034,0,0,10.77586207,5.387931034,0,0
50,199602,1996,02,1616.37931,0,0,0,0,0,0,732.7586207,5.387931034,5.387931034,0,0,0,0,0,32.32758621,12322.20517,10.77586207,0,0,0,5.387931034,0,0,0
51,199603,1996,03,8141.167241,969.8275862,16.1637931,21.55172414,0,0,0,123.9224138,1142.239655,1966.598276,1772.62931,948.2758621,1239.224138,0,220.9051724,0,5479.527586,0,226.2931034,646.5517241,1907.331034,5668.101724,2106.684483,1201.508621,3108.837931
52,199604,1996,04,15047.55435,7982.341304,9334.241304,1358.693478,1447.008696,176.6304348,2683.423913,1983.695652,7941.580435,4558.426087,4062.5,6202.45,14307.07826,2418.478261,5597.821739,849.1847826,7146.743478,2493.206522,3192.934783,4714.673913,8322.019565,13600.54348,12683.42609,5869.563043,3695.652174
53,199605,1996,05,11977.16923,3792.065385,12475.95962,10877.40962,7644.226923,5823.313462,8257.207692,3713.942308,11532.45769,4867.784615,913.4615385,5288.461538,7518.019231,1640.625,4344.951923,2782.453846,1195.915385,2710.336538,1256.009615,612.9807692,4459.134615,18052.87692,4735.578846,1592.548077,4615.384615
54,199606,1996,06,24771.64615,1941.105769,5919.475,3167.065385,949.5192308,2373.796154,7163.463462,1382.211538,9669.476923,3449.519231,2764.419231,5246.396154,14783.65192,757.2115385,3377.401923,3137.019231,1736.778846,3118.990385,570.9134615,1009.615385,2866.586538,11003.60962,3419.471154,2331.730769,3413.461538
